SelltoCustomerNo_,No_,OnHold,Gen_Bus_PostingGroup,SelltoCustomerName,SelltoCountryRegionCode,c004_Instrument_Count,ColorStatusTxt
C-4212,O-08252,,CUSTOMER,,BR,0,
C-7868,O-08253,,WAR-PRT,,KR,0,
C-7739,O-08254,,CUSTOMER,,US,0,
C-5214,O-08260,,CUSTOMER,,VN,0,
C-9691,O-08261,,DISTRIBUTOR,,JP,0,
C-2235,O-08263,,CUSTOMER,,US,1,
C-8038,O-08266,,DISTRIBUTOR,,IT,0,
C-3273,O-08267,,CUSTOMER,,CN,0,
C-8865,O-08271,,CUSTOMER,,US,1,
C-0038,O-08272,,CUSTOMER,,US,1,
C-6610,O-08273,,CUSTOMER,,US,1,
C-7476,O-08277,,CUSTOMER,,US,0,
C-2591,O-08290,,CUSTOMER,,IN,0,
C-8244,O-08297,,CUSTOMER,,BR,1,
C-0438,O-08300,,SUB-FRA,,FR,1,
C-7996,O-08303,,SUB-UK,,GB,0,
C-6535,O-08304,,CUSTOMER,,US,0,
C-6729,O-08306,,CUSTOMER,,CA,0,
C-6391,O-08307,,CUSTOMER,,US,0,
C-6386,O-08308,,SUPPLIER,,CN,0,
C-0345,O-08310,,CUSTOMER,,US,0,
C-0738,O-08311,,CUSTOMER,,US,1,
C-9691,O-08315,,DISTRIBUTOR,,JP,0,
C-9691,O-08316,,DISTRIBUTOR,,JP,0,
C-5336,O-08317,HFT,CUSTOMER,,CN,1,
C-8116,O-08318,,SUB-FRA,,FR,0,
C-8165,O-08320,,CUSTOMER,,US,0,
C-0838,O-08321,,SUB-IND,,IN,1,
C-6776,O-08322,,DISTRIBUTOR,,ZA,0,
C-1717,O-08325,,CUSTOMER,,US,0,
C-2247,O-08328,,CUSTOMER,,US,0,
C-2616,O-08329,,WAR-PRT,,DE,0,
C-0210,O-08332,,DISTRIBUTOR,,HR,0,
C-1238,O-08334,,SUB-GER,,DE,0,
C-1581,O-08336,,DISTRIBUTOR,,CO,0,
C-1786,O-08339,,SUB-UK,,GB,0,
C-8826,O-08340,,SUB-UK,,GB,0,
C-8913,O-08344,,CUSTOMER,,US,0,
C-2922,O-08347,,CUSTOMER,,DE,0,
C-1438,O-08348,,CUSTOMER,,BR,0,
C-8660,O-08350,,CUSTOMER,,US,1,
C-1638,O-08351,,SUB-KOR,,KR,0,
C-6917,O-08354,,DISTRIBUTOR,,ES,0,
C-6917,O-08355,,DISTRIBUTOR,,ES,0,
C-2274,O-08359,ADM,CUSTOMER,,US,1,
C-6229,O-08360,,CUSTOMER,,US,0,
C-8614,O-08361,,SUB-PID,,ES,0,
C-4445,O-08366,,CUSTOMER,,US,0,
C-6634,O-08367,,CUSTOMER,,MX,0,
C-2438,O-08370,,SUB-UK,,GB,0,
C-9542,O-08371,,CUSTOMER,,US,0,
C-2538,O-08372,,CUSTOMER,,US,1,
C-5362,O-08373,,CUSTOMER,,US,0,
C-7550,O-08374,,CUSTOMER,,US,0,
C-4337,O-08375,,CUSTOMER,,US,0,
C-2757,O-08376,,CUSTOMER,,CN,0,
C-8132,O-08377,,CUSTOMER,,CN,1,
C-0860,O-08378,,WAR-PRT,,CN,0,
C-9259,O-08392,ADM,CUSTOMER,,CN,0,
C-9733,O-08393,,CUSTOMER,,US,0,
C-2844,O-08394,,CUSTOMER,,FR,0,
C-2738,O-08395,,CUSTOMER,,US,0,
C-0736,O-08396,,WAR-INST,,DE,1,
C-0422,O-08397,,CUSTOMER,,US,0,
C-9935,O-08398,,CUSTOMER,,US,0,
C-4740,O-08399,,CUSTOMER,,US,0,
C-9691,O-08400,,DISTRIBUTOR,,FR,0,
C-9691,O-08402,,DISTRIBUTOR,,CN,0,
C-0860,O-08403,,DISTRIBUTOR,,SA,0,
C-5924,O-08404,,SUB-FRA,,CN,0,
C-2838,O-08405,ADM,DISTRIBUTOR,,US,1,
C-6917,O-08406,,DISTRIBUTOR,,ZA,0,
C-9585,O-08407,,DISTRIBUTOR,,DE,0,
C-2938,O-08408,,SUB-UK,,CN,0,
C-0565,O-08409,,DISTRIBUTOR,,CN,0,
C-2094,O-08607,,DISTRIBUTOR,,DE,1,
C-0860,O-08637,,WAR-PRT,,US,0,
C-2748,O-08767,ADM,DISTRIBUTOR,,CN,0,
C-8566,O-08856,,CUSTOMER,,FR,0,
C-3198,O-08890,HFT,CUSTOMER,,DE,1,
C-6194,O-08891,,CUSTOMER,,CN,3,
C-7395,O-08918,,CUSTOMER,,US,0,
C-7995,O-08927,,CUSTOMER,,US,0,
